Model,MAE,Train_t,Pred_t
NBEATS,0.14,2.25,0.36
MLP,0.67,1.0,0.16
Maxvalue,0.07,0.0,0.01
MLP,0.94,1.03,0.16
NHITS,9.73,2.02,0.18
Avgvalue,0.02,0.0,0.02
Maxvalue,0.2,0.0,0.01
NBEATS,0.15,2.25,0.2
Maxvalue,0.11,0.0,0.01
TimesNet,0.55,356.04,0.31
Dsp,0.02,0.0,0.01
Movingavg,0.47,0.0,0.02
PatchTST,0.15,41.83,0.35
Movingavg,0.32,0.0,0.02
Maxvalue,0.03,0.0,0.01
Dsp,0.03,0.0,0.01
Avgvalue,0.03,0.0,0.01
