model_name,trace_name,pattern,log_dict,extra_parameters
Movingavg,40,period,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.008807182312011719, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 1265.256884138992, 'mse': 1600874.982861111, 'r2': 0.8587635663732818, 'mae': 880.9343055555555, 'crane_error': 0.2512719548963074, 'cold_start_invocation_ratio': 0.04987720567611614, 'utilization_ratio': 0.9526493500021344, 'over_provisioned_ratio': 0.049704174991311946, 'cold_start_time_slot_ratio': 0.4048611111111111}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,60,period,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.40010905265808105, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 7072.175852354724, 'mse': 50015671.286629274, 'r2': -0.5224476273354375, 'mae': 5422.633274743943, 'crane_error': 1.6185761457625363, 'cold_start_invocation_ratio': 0.2542655111936144, 'utilization_ratio': 0.8150745713086603, 'over_provisioned_ratio': 0.22688160715703395, 'cold_start_time_slot_ratio': 0.48680555555555555}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,60,period,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0007722377777099609, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 850.0818477750638, 'mse': 722639.1479166667, 'r2': 0.9780032892118846, 'mae': 613.61875, 'crane_error': 0.0698115805655938, 'cold_start_invocation_ratio': 0.0008895124595518609, 'utilization_ratio': 0.9491659692285018, 'over_provisioned_ratio': 0.053556524801259955, 'cold_start_time_slot_ratio': 0.09930555555555555}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,60,period,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0073168277740478516, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 3271.005974680547, 'mse': 10699480.086395834, 'r2': 0.6743141169113779, 'mae': 1339.879097222222, 'crane_error': 0.2379123964533713, 'cold_start_invocation_ratio': 0.059439377932807756, 'utilization_ratio': 0.9438883658478644, 'over_provisioned_ratio': 0.059447320448465596, 'cold_start_time_slot_ratio': 0.3451388888888889}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,9,period,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.5055668354034424, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 283.4249486725448, 'mse': 80329.70153003465, 'r2': -0.7461591631215583, 'mae': 238.94128972331478, 'crane_error': 2.6212407048090407, 'cold_start_invocation_ratio': 0.282494837681167, 'utilization_ratio': 0.784748976169008, 'over_provisioned_ratio': 0.27429283805097426, 'cold_start_time_slot_ratio': 0.6333333333333333}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,9,period,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.000965118408203125, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 70.35483368613073, 'mse': 4949.802623003115, 'r2': 0.8924041414175004, 'mae': 57.15866360416667, 'crane_error': 0.144684358705717, 'cold_start_invocation_ratio': 0.0022339112463845867, 'utilization_ratio': 0.8842055036641964, 'over_provisioned_ratio': 0.1309588052279081, 'cold_start_time_slot_ratio': 0.1}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,9,period,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007415056228637695, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 12.71410306364633, 'mse': 161.648416713021, 'r2': 0.9964861830845718, 'mae': 9.43736948472222, 'crane_error': 0.07829153388404402, 'cold_start_invocation_ratio': 0.010994250075011333, 'utilization_ratio': 0.9891226457316963, 'over_provisioned_ratio': 0.010996972231139981, 'cold_start_time_slot_ratio': 0.5354166666666667}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,14,period,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4978659152984619, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 22.505161500907583, 'mse': 506.4822941819329, 'r2': -0.801889447996504, 'mae': 18.126872234871577, 'crane_error': None, 'cold_start_invocation_ratio': 0.25265096028351247, 'utilization_ratio': 0.8354994273748061, 'over_provisioned_ratio': 0.19688891127318361, 'cold_start_time_slot_ratio': 0.5111111111111111}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,14,period,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0009417533874511719, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 4.141400571321362, 'mse': 17.151198692140902, 'r2': 0.93898194606432, 'mae': 3.0909731875000004, 'crane_error': 0.08084154738115765, 'cold_start_invocation_ratio': 0.0016847716817950185, 'utilization_ratio': 0.9302583070083357, 'over_provisioned_ratio': 0.07497024478711677, 'cold_start_time_slot_ratio': 0.10277777777777777}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,14,period,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0072689056396484375, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 1.280458895024742, 'mse': 1.6395749818479834, 'r2': 0.9941669572797944, 'mae': 0.850003975, 'crane_error': 0.06578455078610367, 'cold_start_invocation_ratio': 0.01057201272390279, 'utilization_ratio': 0.9896014870173256, 'over_provisioned_ratio': 0.010507778251238272, 'cold_start_time_slot_ratio': 0.4597222222222222}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
